timestamp_utc,label,experiment,server,workload,total_connections,active_connections,clients,load_workers,server_affinity,server_affinity_applied,worker_affinity,worker_affinity_applied,run,duration_s,global_offered_rate_s,payload_bytes,offered_operations,sent_operations,missed_offers,offered_msg_s,completed_by_deadline,eventual_completions,completed_by_deadline_msg_s,delivered,delivered_by_deadline_msg_s,inbound_messages_s,outbound_deliveries_s,per_socket_receive_rate_s,fan_out,delivery_ratio,latency_samples,p50_ms,p95_ms,p99_ms,generator_cpu_percent,server_cpu_percent,scheduling_lag_p50_ms,scheduling_lag_p95_ms,scheduling_lag_p99_ms,max_read_service_gap_ms,worker_start_skew_ms,client_disconnects,send_errors,client_partial_sends,client_send_eagain,server_crashed,diagnostic_mode,profile_started,profile_command,profile_events,profile_error,harness_error,server_disconnects,disconnect_reasons,wait_calls,total_events,events_per_wait_p50,events_per_wait_p95,events_per_wait_max,full_event_batches,epoll_ctl_add,epoll_ctl_mod,epoll_ctl_del,immediate_write_successes,partial_writes,send_calls,recv_calls,send_eagain,recv_eagain,bytes_read,bytes_written,queue_overflows,disconnects,queue_high_water_bytes,queue_high_water_messages,missed_offer_ratio,deadline_completion_ratio,cpu_per_completed_request_us,valid,invalid_reasons
2026-08-08T00:15:02.148164+00:00,poll,sparse,/home/dhruv/Documents/Programming/event-driven-chat-server/poll(2)/server,direct,10,1,10,2,none,False,none,False,1,0.5,1000.0,0,500,500,0,1000.0,500,500,1000.0,500,1000.0,1000.0,1000.0,100.0,1,1.0,500,0.0980075,0.25362049999999986,0.37477232999999993,14.783312600000004,4.0,0.5111585,1.0271760499999998,1.08269296,0.006991,0.504955,0,0,0,0,False,none,False,,,,,0,,479,479,1,1,1,0,0,0,0,500,0,500,979,0,479,3000,18000,0,0,0,0,0.0,1.0,40.0,True,
2026-08-08T00:15:03.451951+00:00,epoll,sparse,/home/dhruv/Documents/Programming/event-driven-chat-server/epoll/server,direct,10,1,10,2,none,False,none,False,1,0.5,1000.0,0,500,500,0,1000.0,500,500,1000.0,500,1000.0,1000.0,1000.0,100.0,1,1.0,500,0.0680075,0.20450164999999995,0.27507497,9.578708400000002,2.0,0.52338,1.00457805,1.07225119,0.006146,1.075955,0,0,0,0,False,none,False,,,,,0,,474,474,1,1,1,0,0,0,0,500,0,500,974,0,474,3000,18000,0,0,0,0,0.0,1.0,20.0,True,
2026-08-08T00:15:04.760688+00:00,poll,sparse,/home/dhruv/Documents/Programming/event-driven-chat-server/poll(2)/server,direct,10,5,10,2,none,False,none,False,1,0.5,1000.0,0,500,500,0,1000.0,500,500,1000.0,500,1000.0,1000.0,1000.0,100.0,1,1.0,500,0.0931955,0.25220285,0.3497072,14.182873199999998,4.0,0.574072,1.025189,1.05948895,0.012256,0.705883,0,0,0,0,False,none,False,,,,,0,,497,500,1,1,2,0,0,0,0,500,0,500,1000,0,500,3000,18000,0,0,0,0,0.0,1.0,40.0,True,
2026-08-08T00:15:06.084219+00:00,epoll,sparse,/home/dhruv/Documents/Programming/event-driven-chat-server/epoll/server,direct,10,5,10,2,none,False,none,False,1,0.5,1000.0,0,500,500,0,1000.0,500,500,1000.0,500,1000.0,1000.0,1000.0,100.0,1,1.0,500,0.11673800000000001,0.25641575,0.38473496999999995,15.2986494,4.0,0.5653695,1.0370303999999997,1.0974147,0.02457,0.438016,0,0,0,0,False,none,False,,,,,0,,494,500,1,1,2,0,0,0,0,500,0,500,1000,0,500,3000,18000,0,0,0,0,0.0,1.0,40.0,True,
2026-08-08T00:15:07.404377+00:00,poll,dense,/home/dhruv/Documents/Programming/event-driven-chat-server/poll(2)/server,direct,10,10,10,2,none,False,none,False,1,0.5,1000.0,0,500,499,1,998.0,499,499,998.0,499,998.0,998.0,998.0,99.8,1,1.0,499,0.106946,0.24796869999999968,0.3499410999999993,17.503370599999997,4.0,0.591288,1.0278429999999998,1.09265458,0.005191,0.998227,0,0,0,0,False,none,False,,,,,0,,499,499,1,1,1,0,0,0,0,499,0,499,998,0,499,2994,17964,0,0,0,0,0.002,1.0,40.08016032064128,True,
2026-08-08T00:15:08.734487+00:00,epoll,dense,/home/dhruv/Documents/Programming/event-driven-chat-server/epoll/server,direct,10,10,10,2,none,False,none,False,1,0.5,1000.0,0,500,500,0,1000.0,500,500,1000.0,500,1000.0,1000.0,1000.0,100.0,1,1.0,500,0.07353100000000001,0.20052945,0.27068722999999995,11.136609,4.0,0.612457,1.0381296999999998,1.0787695199999998,0.008338,0.452086,0,0,0,0,False,none,False,,,,,0,,500,500,1,1,1,0,0,0,0,500,0,500,1000,0,500,3000,18000,0,0,0,0,0.0,1.0,40.0,True,
2026-08-08T00:15:10.053569+00:00,poll,dense,/home/dhruv/Documents/Programming/event-driven-chat-server/poll(2)/server,direct,10,10,10,2,none,False,none,False,1,0.5,5000.0,0,2500,2496,4,4992.0,2496,2496,4992.0,2496,4992.0,4992.0,4992.0,499.2,1,1.0,2496,0.119963,0.2869255,0.3882421000000009,46.211662,14.000000000000002,0.4716945,1.0437509999999999,1.0949997500000002,0.451753,0.961449,0,0,0,0,False,none,False,,,,,0,,1993,2496,1,2,6,0,0,0,0,2496,0,2496,4992,0,2496,14976,89856,0,0,0,0,0.0016,1.0,28.0448717948718,True,
2026-08-08T00:15:11.396029+00:00,epoll,dense,/home/dhruv/Documents/Programming/event-driven-chat-server/epoll/server,direct,10,10,10,2,none,False,none,False,1,0.5,5000.0,0,2500,2499,1,4998.0,2498,2499,4996.0,2499,4996.0,4998.0,4996.0,499.6,1,1.0,2499,0.141486,0.3029399,0.3912601399999999,53.4457886,14.000000000000002,0.44783,1.0460406,1.09368488,0.307685,0.179863,0,0,0,0,False,none,False,,,,,0,,2080,2499,1,2,6,0,0,0,0,2499,0,2499,4998,0,2499,14994,89964,0,0,0,0,0.0004,0.9995998399359743,28.011204481792724,True,
2026-08-08T00:15:12.740379+00:00,poll,broadcast,/home/dhruv/Documents/Programming/event-driven-chat-server/poll(2)/server,broadcast,10,10,10,2,none,False,none,False,1,0.5,100.0,128,50,50,0,100.0,50,50,100.0,450,888.0,100.0,888.0,88.8,9,1.0,50,0.3465125,0.5107077,0.6409438299999997,7.421982999999999,0.0,0.8508199999999999,1.7649534999999998,1.8689686599999997,0.28517,0.702389,0,0,0,0,False,none,False,,,,,0,,50,50,1,1,1,0,0,0,0,450,0,450,100,0,50,8140,78660,0,0,0,0,0.0,1.0,0.0,True,
2026-08-08T00:15:14.084695+00:00,epoll,broadcast,/home/dhruv/Documents/Programming/event-driven-chat-server/epoll/server,broadcast,10,10,10,2,none,False,none,False,1,0.5,100.0,128,50,50,0,100.0,50,50,100.0,450,888.0,100.0,888.0,88.8,9,1.0,50,0.30146300000000004,0.47684269999999995,0.5330756699999999,7.353389200000001,2.0,0.9770595,2.04340475,2.07275121,0.248361,0.520361,0,0,0,0,False,none,False,,,,,0,,50,50,1,1,1,0,0,0,0,450,0,450,100,0,50,8140,78660,0,0,0,0,0.0,1.0,200.0,True,
2026-08-08T00:15:15.416791+00:00,poll,broadcast,/home/dhruv/Documents/Programming/event-driven-chat-server/poll(2)/server,broadcast,10,10,10,2,none,False,none,False,1,0.5,500.0,128,250,250,0,500.0,249,249,498.0,2205,4410.0,500.0,4410.0,441.0,9,0.98,249,2.136789,2.815401,3.0372574400000003,11.682612,2.0,0.59975,1.0131791999999997,1.0919601499999996,0.2328,0.969425,0,0,0,0,False,none,False,,,,,0,,250,250,1,1,1,0,0,0,0,2250,0,2250,500,0,250,40890,395010,0,0,0,0,0.0,0.996,40.16064257028113,False,delivery ratio 0.980000 below 0.999000
