timestamp_utc,label,experiment,server,workload,total_connections,active_connections,clients,load_workers,server_affinity,server_affinity_applied,worker_affinity,worker_affinity_applied,run,duration_s,global_offered_rate_s,payload_bytes,offered_operations,sent_operations,missed_offers,offered_msg_s,completed_by_deadline,eventual_completions,completed_by_deadline_msg_s,delivered,delivered_by_deadline_msg_s,inbound_messages_s,outbound_deliveries_s,per_socket_receive_rate_s,fan_out,delivery_ratio,latency_samples,p50_ms,p95_ms,p99_ms,generator_cpu_percent,server_cpu_percent,scheduling_lag_p50_ms,scheduling_lag_p95_ms,scheduling_lag_p99_ms,max_read_service_gap_ms,worker_start_skew_ms,client_disconnects,send_errors,client_partial_sends,client_send_eagain,server_crashed,diagnostic_mode,profile_started,profile_command,profile_events,profile_error,harness_error,server_disconnects,disconnect_reasons,wait_calls,total_events,events_per_wait_p50,events_per_wait_p95,events_per_wait_max,full_event_batches,epoll_ctl_add,epoll_ctl_mod,epoll_ctl_del,immediate_write_successes,partial_writes,send_calls,recv_calls,send_eagain,recv_eagain,bytes_read,bytes_written,queue_overflows,disconnects,queue_high_water_bytes,queue_high_water_messages,missed_offer_ratio,deadline_completion_ratio,cpu_per_completed_request_us,valid,invalid_reasons
2026-08-08T00:16:35.652873+00:00,poll,sparse,/home/dhruv/Documents/Programming/event-driven-chat-server/poll(2)/server,direct,1000,1,1000,4,0,True,"2,4,5,6",True,1,1.0,2000.0,0,2000,2000,0,2000.0,1999,2000,1999.0,2000,1999.0,2000.0,1999.0,1.999,1,1.0,2000,0.3457925,1.38067275,1.5844223199999974,9.4146294,46.0,0.43784599999999996,1.0104301500000001,1.0669477699999999,0.003558,1.287979,0,0,0,0,False,none,False,,,,,0,,1054,1054,1,1,1,0,0,0,0,2000,0,2000,2322,0,1054,12000,72000,0,0,0,0,0.0,0.9995,230.0,True,
2026-08-08T00:16:38.002338+00:00,epoll,sparse,/home/dhruv/Documents/Programming/event-driven-chat-server/epoll/server,direct,1000,1,1000,4,0,True,"2,4,5,6",True,1,1.0,2000.0,0,2000,2000,0,2000.0,1999,2000,1999.0,2000,1999.0,2000.0,1999.0,1.999,1,1.0,2000,0.10717299999999999,1.1813027,1.23325501,9.3128224,3.0000000000000004,0.53072,1.01121665,1.07005438,0.005348,0.318822,0,0,0,0,False,none,False,,,,,0,,1422,1422,1,1,1,0,0,0,0,2000,0,2000,3162,0,1422,12000,72000,0,0,0,0,0.0,0.9995,15.000000000000002,True,
2026-08-08T00:16:40.297613+00:00,poll,sparse,/home/dhruv/Documents/Programming/event-driven-chat-server/poll(2)/server,direct,1000,10,1000,4,0,True,"2,4,5,6",True,1,1.0,2000.0,0,2000,1999,1,1999.0,1999,1999,1999.0,1999,1999.0,1999.0,1999.0,1.999,1,1.0,1999,0.190558,0.41311409999999993,1.2217540599999985,13.4474604,46.0,0.578339,1.0379612999999999,1.1409356800000001,0.046764,0.602865,0,0,0,0,False,none,False,,,,,0,,1844,1999,1,2,6,0,0,0,0,1999,0,1999,3998,0,1999,11994,71964,0,0,0,0,0.0005,1.0,230.1150575287644,True,
2026-08-08T00:16:42.565384+00:00,epoll,sparse,/home/dhruv/Documents/Programming/event-driven-chat-server/epoll/server,direct,1000,10,1000,4,0,True,"2,4,5,6",True,1,1.0,2000.0,0,2000,1999,1,1999.0,1999,1999,1999.0,1999,1999.0,1999.0,1999.0,1.999,1,1.0,1999,0.053332,0.12104319999999985,0.455926599999997,15.566656899999998,3.9999999999999996,0.55765,1.0326871,1.08082788,0.033422,0.897047,0,0,0,0,False,none,False,,,,,0,,1898,1999,1,1,8,0,0,0,0,1999,0,1999,3998,0,1999,11994,71964,0,0,0,0,0.0005,1.0,20.01000500250125,True,
2026-08-08T00:16:44.862409+00:00,poll,sparse,/home/dhruv/Documents/Programming/event-driven-chat-server/poll(2)/server,direct,1000,100,1000,4,0,True,"2,4,5,6",True,1,1.0,2000.0,0,2000,2000,0,2000.0,2000,2000,2000.0,2000,2000.0,2000.0,2000.0,2.0,1,1.0,2000,0.1988865,0.4026372,0.56702345,13.022328900000002,42.99999999999999,0.5574585,1.0127339,1.06837124,0.018625,0.773396,0,0,0,0,False,none,False,,,,,0,,1745,2000,1,2,7,0,0,0,0,2000,0,2000,4000,0,2000,12000,72000,0,0,0,0,0.0,1.0,214.99999999999997,True,
2026-08-08T00:16:47.133010+00:00,epoll,sparse,/home/dhruv/Documents/Programming/event-driven-chat-server/epoll/server,direct,1000,100,1000,4,0,True,"2,4,5,6",True,1,1.0,2000.0,0,2000,2000,0,2000.0,1999,2000,1999.0,2000,1999.0,2000.0,1999.0,1.999,1,1.0,2000,0.049160499999999996,0.15467630000000002,0.8253070499999995,13.940155400000004,3.9999999999999996,0.572839,1.0250283,1.4577003,0.023177,0.967989,0,0,0,0,False,none,False,,,,,0,,1807,2000,1,2,7,0,0,0,0,2000,0,2000,4000,0,2000,12000,72000,0,0,0,0,0.0,0.9995,19.999999999999996,True,
2026-08-08T00:16:51.557619+00:00,poll,sparse,/home/dhruv/Documents/Programming/event-driven-chat-server/poll(2)/server,direct,5000,1,5000,4,0,True,"2,4,5,6",True,1,1.0,2000.0,0,2000,2000,0,2000.0,1996,2000,1996.0,2000,1996.0,2000.0,1996.0,0.3992,1,1.0,2000,1.6017715,3.2338606000000003,3.5957249399999998,8.450842100000006,100.0,0.505563,1.0172835500000001,1.07543368,0.003768,3.294081,0,0,0,0,False,none,False,,,,,0,,394,394,1,1,1,0,0,0,0,2000,0,2000,1132,0,394,12000,72000,0,0,0,0,0.0,0.998,500.0,True,
2026-08-08T00:16:54.671947+00:00,epoll,sparse,/home/dhruv/Documents/Programming/event-driven-chat-server/epoll/server,direct,5000,1,5000,4,0,True,"2,4,5,6",True,1,1.0,2000.0,0,2000,2000,0,2000.0,1999,2000,1999.0,2000,1999.0,2000.0,1999.0,0.3998,1,1.0,2000,0.15537,1.2854917499999998,1.38469479,14.601074,3.0,0.543236,1.0223669999999998,1.07531901,0.011651,0.445113,0,0,0,0,False,none,False,,,,,0,,1602,1602,1,1,1,0,0,0,0,2000,0,2000,3445,0,1602,12000,72000,0,0,0,0,0.0,0.9995,15.0,True,
2026-08-08T00:16:59.161727+00:00,poll,sparse,/home/dhruv/Documents/Programming/event-driven-chat-server/poll(2)/server,direct,5000,10,5000,4,0,True,"2,4,5,6",True,1,1.0,2000.0,0,2000,2000,0,2000.0,1996,2000,1996.0,2000,1996.0,2000.0,1996.0,0.3992,1,1.0,2000,1.6736754999999999,2.7496837,3.17760594,16.158976400000004,100.0,0.493847,1.0342942,1.331220749999999,0.12533,0.695667,0,0,0,0,False,none,False,,,,,0,,906,1998,2,4,6,0,0,0,0,2000,0,2000,3998,0,1998,12000,72000,0,0,0,0,0.0,0.998,500.0,True,
2026-08-08T00:17:02.165291+00:00,epoll,sparse,/home/dhruv/Documents/Programming/event-driven-chat-server/epoll/server,direct,5000,10,5000,4,0,True,"2,4,5,6",True,1,1.0,2000.0,0,2000,1999,1,1999.0,1999,1999,1999.0,1999,1999.0,1999.0,1999.0,0.3998,1,1.0,1999,0.057289,0.1330102,0.20576387999999798,17.1503319,4.000000000000001,0.548042,1.0067845,1.06070456,0.009265,0.850229,0,0,0,0,False,none,False,,,,,0,,1908,1999,1,1,7,0,0,0,0,1999,0,1999,3998,0,1999,11994,71964,0,0,0,0,0.0005,1.0,20.010005002501256,True,
