timestamp_utc,label,experiment,server,workload,total_connections,active_connections,clients,load_workers,server_affinity,server_affinity_applied,worker_affinity,worker_affinity_applied,run,duration_s,global_offered_rate_s,payload_bytes,offered_operations,sent_operations,missed_offers,offered_msg_s,completed_by_deadline,eventual_completions,completed_by_deadline_msg_s,delivered,delivered_by_deadline_msg_s,inbound_messages_s,outbound_deliveries_s,per_socket_receive_rate_s,fan_out,delivery_ratio,latency_samples,p50_ms,p95_ms,p99_ms,generator_cpu_percent,server_cpu_percent,scheduling_lag_p50_ms,scheduling_lag_p95_ms,scheduling_lag_p99_ms,max_read_service_gap_ms,worker_start_skew_ms,client_disconnects,send_errors,client_partial_sends,client_send_eagain,server_crashed,diagnostic_mode,profile_started,profile_command,profile_events,profile_error,harness_error,server_disconnects,disconnect_reasons,wait_calls,total_events,events_per_wait_p50,events_per_wait_p95,events_per_wait_max,full_event_batches,epoll_ctl_add,epoll_ctl_mod,epoll_ctl_del,immediate_write_successes,partial_writes,send_calls,recv_calls,send_eagain,recv_eagain,bytes_read,bytes_written,queue_overflows,disconnects,queue_high_water_bytes,queue_high_water_messages,missed_offer_ratio,deadline_completion_ratio,cpu_per_completed_request_us,valid,invalid_reasons
2026-08-08T00:21:45.235516+00:00,poll,dense,/home/dhruv/Documents/Programming/event-driven-chat-server/poll(2)/server,direct,100,100,100,4,0,True,"2,4,5,6",True,1,1.0,1000.0,0,1000,1000,0,1000.0,1000,1000,1000.0,1000,1000.0,1000.0,1000.0,10.0,1,1.0,1000,0.081648,0.17339239999999997,0.21123425999999992,11.6291975,5.0,0.6315365,1.0219135,1.0778842,0.013134,2.621388,0,0,0,0,False,none,False,,,,,0,,993,1000,1,1,2,0,0,0,0,1000,0,1000,2000,0,1000,6000,36000,0,0,0,0,0.0,1.0,50.0,True,
2026-08-08T00:21:47.358875+00:00,epoll,dense,/home/dhruv/Documents/Programming/event-driven-chat-server/epoll/server,direct,100,100,100,4,0,True,"2,4,5,6",True,1,1.0,1000.0,0,1000,1000,0,1000.0,1000,1000,1000.0,1000,1000.0,1000.0,1000.0,10.0,1,1.0,1000,0.069325,0.8176807999999999,2.1586954099999995,9.2295666,3.0,0.6453180000000001,1.04453015,1.18992927,0.004831,0.809173,0,0,0,0,False,none,False,,,,,0,,964,1000,1,1,4,0,0,0,0,1000,0,1000,2000,0,1000,6000,36000,0,0,0,0,0.0,1.0,30.0,True,
2026-08-08T00:21:49.478000+00:00,poll,dense,/home/dhruv/Documents/Programming/event-driven-chat-server/poll(2)/server,direct,100,100,100,4,0,True,"2,4,5,6",True,1,1.0,5000.0,0,5000,4997,3,4997.0,4997,4997,4997.0,4997,4997.0,4997.0,4997.0,49.97,1,1.0,4997,0.068196,0.17802479999999996,0.9416747199999997,28.329521199999995,12.000000000000002,0.491463,1.0131532,1.0687147199999998,0.109901,0.80915,0,0,0,0,False,none,False,,,,,0,,2630,4997,1,5,21,0,0,0,0,4997,0,4997,9994,0,4997,29982,179892,0,0,0,0,0.0006,1.0,24.014408645187114,True,
2026-08-08T00:21:51.583768+00:00,epoll,dense,/home/dhruv/Documents/Programming/event-driven-chat-server/epoll/server,direct,100,100,100,4,0,True,"2,4,5,6",True,1,1.0,5000.0,0,5000,4998,2,4998.0,4996,4998,4996.0,4998,4996.0,4998.0,4996.0,49.96,1,1.0,4998,0.043695,0.13822034999999996,0.31797464999999886,26.1103739,7.000000000000001,0.5067345,1.014697,1.06898912,0.053721,0.959582,0,0,0,0,False,none,False,,,,,0,,3183,4998,1,4,12,0,0,0,0,4998,0,4998,9996,0,4998,29988,179928,0,0,0,0,0.0004,0.9995998399359743,14.005602240896362,True,
2026-08-08T00:21:53.715027+00:00,poll,dense,/home/dhruv/Documents/Programming/event-driven-chat-server/poll(2)/server,direct,100,100,100,4,0,True,"2,4,5,6",True,1,1.0,10000.0,0,10000,9994,6,9994.0,9994,9994,9994.0,9994,9994.0,9994.0,9994.0,99.94,1,1.0,9994,0.0591815,0.13210765000000002,0.2694901499999999,43.1934193,15.000000000000002,0.4897405,1.02072615,1.0741012,0.107897,0.950786,0,0,0,0,False,none,False,,,,,0,,5046,9994,1,5,35,0,0,0,0,9994,0,9994,19988,0,9994,59964,359784,0,0,0,0,0.0006,1.0,15.009005403241948,True,
2026-08-08T00:21:55.848319+00:00,epoll,dense,/home/dhruv/Documents/Programming/event-driven-chat-server/epoll/server,direct,100,100,100,4,0,True,"2,4,5,6",True,1,1.0,10000.0,0,10000,9994,6,9994.0,9994,9994,9994.0,9994,9994.0,9994.0,9994.0,99.94,1,1.0,9994,0.060909500000000005,0.20885905000000002,2.444042969999997,46.1399742,11.0,0.48846849999999997,1.0367515,1.9152297599999972,0.272594,0.339726,0,0,0,0,False,none,False,,,,,0,,6493,9994,1,4,41,0,0,0,0,9994,0,9994,19988,0,9994,59964,359784,0,0,0,0,0.0006,1.0,11.006603962377426,True,
2026-08-08T00:21:57.996007+00:00,poll,dense,/home/dhruv/Documents/Programming/event-driven-chat-server/poll(2)/server,direct,100,100,100,4,0,True,"2,4,5,6",True,1,1.0,25000.0,0,25000,24988,12,24988.0,24981,24988,24981.0,24988,24981.0,24988.0,24981.0,249.81,1,1.0,24988,0.08168349999999999,0.25569944999999994,1.635798700000001,69.9797458,28.000000000000004,0.442086,1.03687895,1.5363618600000069,0.389345,1.03262,0,0,0,0,False,none,False,,,,,0,,8251,24987,2,9,86,0,0,0,0,24988,0,24988,49975,0,24987,149928,899568,0,0,0,0,0.00048,0.999719865535457,11.205378581719227,True,
2026-08-08T00:22:00.147330+00:00,epoll,dense,/home/dhruv/Documents/Programming/event-driven-chat-server/epoll/server,direct,100,100,100,4,0,True,"2,4,5,6",True,1,1.0,25000.0,0,25000,24980,20,24980.0,24980,24980,24980.0,24980,24980.0,24980.0,24980.0,249.8,1,1.0,24980,0.065844,0.1208961,0.15715675999999995,61.90784570000001,13.0,0.47095699999999996,1.0248303,1.07313382,0.130294,0.822388,0,0,0,0,False,none,False,,,,,0,,15284,24980,1,4,29,0,0,0,0,24980,0,24980,49960,0,24980,149880,899280,0,0,0,0,0.0008,1.0,5.204163330664532,True,
2026-08-08T00:22:02.400965+00:00,poll,dense,/home/dhruv/Documents/Programming/event-driven-chat-server/poll(2)/server,direct,100,100,100,4,0,True,"2,4,5,6",True,1,1.0,50000.0,0,50000,49959,41,49959.0,49920,49959,49920.0,49959,49920.0,49959.0,49920.0,499.2,1,1.0,49959,0.141971,2.6338342999999997,2.87600962,85.26706879999999,31.0,0.398639,1.0222795,1.07401046,0.411965,0.977992,0,0,0,0,False,none,False,,,,,0,,10821,49481,2,15,100,0,0,0,0,49959,0,49959,99356,0,49481,299754,1798524,0,0,0,0,0.00082,0.9992193598750976,6.205088172301287,True,
2026-08-08T00:22:04.553199+00:00,epoll,dense,/home/dhruv/Documents/Programming/event-driven-chat-server/epoll/server,direct,100,100,100,4,0,True,"2,4,5,6",True,1,1.0,50000.0,0,50000,49987,13,49987.0,49987,49987,49987.0,49987,49987.0,49987.0,49987.0,499.87,1,1.0,49987,0.11846,0.2822592,0.3870830399999999,105.9628491,31.0,0.338397,1.0196962999999999,1.0719646999999999,0.348125,1.057423,0,0,0,0,False,none,False,,,,,0,,15187,49975,1,12,67,0,0,0,0,49987,0,49987,99962,0,49975,299922,1799532,0,0,0,0,0.00026,1.0,6.201612419229,True,
