timestamp_utc,label,server,workload,clients,load_workers,run,duration_s,rate_per_client_s,payload_bytes,offered,offered_msg_s,completed,completed_by_deadline_msg_s,delivered,delivered_by_deadline_msg_s,delivery_ratio,latency_samples,p50_ms,p95_ms,p99_ms,server_cpu_percent,scheduler_lag_p95_ms,client_disconnects,send_errors,disconnect_reasons
2026-08-07T00:46:40.327358+00:00,epoll-unlimited,/home/dhruv/Documents/Programming/event-driven-chat-server/epoll/server,direct,10,2,1,10.0,100.0,0,10000,1000.0,10000,1000.0,10000,1000.0,1.0,10000,0.0917815,0.20741279999999995,0.3103174800000002,5.0,1.0451675596414134,0,0,
2026-08-07T00:46:52.703676+00:00,epoll-unlimited,/home/dhruv/Documents/Programming/event-driven-chat-server/epoll/server,direct,10,2,2,10.0,100.0,0,10000,1000.0,10000,1000.0,10000,1000.0,1.0,10000,0.094787,0.21060895,0.31763763000000056,5.500000000000001,1.0323500871891156,0,0,
2026-08-07T00:47:05.079857+00:00,epoll-unlimited,/home/dhruv/Documents/Programming/event-driven-chat-server/epoll/server,direct,10,2,3,10.0,100.0,0,10000,1000.0,10000,1000.0,10000,1000.0,1.0,10000,0.089084,0.19238105,0.27537637000000004,4.9,1.041374092164915,0,0,
2026-08-07T00:47:17.463114+00:00,epoll-unlimited,/home/dhruv/Documents/Programming/event-driven-chat-server/epoll/server,direct,50,2,1,10.0,100.0,0,49999,4999.9,49999,4999.9,49999,4999.9,1.0,49999,0.114367,0.3171442,0.52170002,15.799999999999997,1.040623156586662,0,0,
2026-08-07T00:47:29.869426+00:00,epoll-unlimited,/home/dhruv/Documents/Programming/event-driven-chat-server/epoll/server,direct,50,2,2,10.0,100.0,0,50000,5000.0,50000,5000.0,50000,5000.0,1.0,50000,0.111714,0.29529169999999993,0.48363528000000106,15.299999999999999,1.0411661074613219,0,0,
2026-08-07T00:47:42.273693+00:00,epoll-unlimited,/home/dhruv/Documents/Programming/event-driven-chat-server/epoll/server,direct,50,2,3,10.0,100.0,0,50000,5000.0,50000,5000.0,50000,5000.0,1.0,50000,0.10662150000000001,0.30966374999999996,0.5209742900000011,15.299999999999999,1.0399657927337103,0,0,
2026-08-07T00:47:54.682813+00:00,epoll-unlimited,/home/dhruv/Documents/Programming/event-driven-chat-server/epoll/server,direct,100,2,1,10.0,100.0,0,100000,10000.0,100000,9999.6,100000,9999.6,1.0,100000,0.169883,0.6904746499999975,1.3494257799999996,27.900000000000002,1.0517822913243433,0,0,
2026-08-07T00:48:07.126587+00:00,epoll-unlimited,/home/dhruv/Documents/Programming/event-driven-chat-server/epoll/server,direct,100,2,2,10.0,100.0,0,99991,9999.1,99991,9999.1,99991,9999.1,1.0,99991,0.169104,0.7431835,1.443278500000004,27.799999999999997,1.0523249802645296,0,0,
2026-08-07T00:48:19.554388+00:00,epoll-unlimited,/home/dhruv/Documents/Programming/event-driven-chat-server/epoll/server,direct,100,2,3,10.0,100.0,0,99996,9999.6,99996,9999.6,99996,9999.6,1.0,99996,0.203147,0.8342575,1.55878575,30.4,1.0558210269664414,0,0,
2026-08-07T00:48:32.374072+00:00,epoll-unlimited,/home/dhruv/Documents/Programming/event-driven-chat-server/epoll/server,direct,500,2,1,10.0,100.0,0,500000,50000.0,500000,49753.8,500000,49753.8,1.0,500000,1.085944,56.498684099999984,151.35297927,56.699999999999996,11.20437565550673,0,0,
2026-08-07T00:48:45.809598+00:00,epoll-unlimited,/home/dhruv/Documents/Programming/event-driven-chat-server/epoll/server,direct,500,2,2,10.0,100.0,0,499986,49998.6,499986,49830.1,499986,49830.1,1.0,499986,11.0958155,151.35005974999999,511.6520210000005,64.20000000000002,21.97388969216263,0,0,
2026-08-07T00:48:59.334960+00:00,epoll-unlimited,/home/dhruv/Documents/Programming/event-driven-chat-server/epoll/server,direct,500,2,3,10.0,100.0,0,499995,49999.5,499995,49945.8,499995,49945.8,1.0,499995,12.034838,80.60483999999998,388.02892858,66.5,16.44447774451691,0,0,
